Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
May-13,Mid West Gascoyne District,0,0,0,0,0,7,6,1,0,0,0,50,14,36,40,11,24,5,8,3,5,7,4,3,2,0,2,4,0,4,118,90,65,25,27,185,0,0,0,0,0,185,120,12,108,2,1,1,0,424,542,78,6,43,23,6,0,4,2,2,21,103,10,30,0,0,30,19,7,4,8,59
Jun-13,Mid West Gascoyne District,0,0,0,0,0,5,4,1,10,3,7,68,13,55,36,12,18,6,8,6,2,12,8,4,0,0,0,2,0,2,141,64,35,29,19,128,0,0,0,0,2,126,116,19,97,1,0,1,0,328,469,75,6,43,25,1,0,8,5,3,5,88,6,73,0,0,73,23,12,4,7,102
Jul-13,Mid West Gascoyne District,0,0,0,0,0,6,4,2,7,7,0,71,11,60,42,14,23,5,15,15,0,7,3,4,1,0,1,3,0,3,152,63,44,19,21,174,0,0,0,0,0,174,142,18,124,4,0,4,0,404,556,90,6,49,29,6,0,8,5,3,27,125,7,15,1,0,14,27,7,3,17,49
Aug-13,Mid West Gascoyne District,1,0,0,0,1,2,2,0,6,6,0,84,16,68,38,5,29,4,13,12,1,14,6,8,0,0,0,0,0,0,158,64,42,22,21,171,0,0,0,0,0,171,137,24,113,1,0,1,0,394,552,100,6,54,36,4,0,6,2,4,9,115,3,74,0,0,74,40,21,5,14,117
Sep-13,Mid West Gascoyne District,0,0,0,0,0,3,2,1,21,21,0,86,19,67,50,20,26,4,17,14,3,12,5,7,1,0,1,4,0,4,194,84,72,12,16,130,0,0,0,0,0,130,127,10,117,0,0,0,0,357,551,76,0,41,31,4,0,4,4,0,4,84,5,103,0,0,103,29,13,3,13,137
Oct-13,Mid West Gascoyne District,4,0,0,0,4,20,20,0,1,1,0,74,15,59,51,21,22,8,24,22,2,17,9,8,0,0,0,3,0,3,194,92,71,21,18,137,0,0,0,0,0,137,125,17,108,0,0,0,0,372,566,61,9,34,17,1,0,8,6,2,14,83,4,44,0,0,44,25,12,3,10,73
Nov-13,Mid West Gascoyne District,0,0,0,0,0,7,7,0,10,10,0,92,18,74,58,22,31,5,29,25,4,9,5,4,3,0,3,4,1,3,212,80,51,29,29,167,0,0,0,0,2,165,162,35,127,3,0,3,0,441,653,100,3,57,36,3,1,7,6,1,9,116,6,20,0,0,20,26,8,3,15,52
Dec-13,Mid West Gascoyne District,0,0,0,0,0,6,4,2,4,4,0,118,28,90,46,23,18,5,22,17,5,20,10,10,1,0,1,2,0,2,219,118,93,25,25,244,0,0,0,0,2,242,223,46,177,2,0,2,0,612,831,108,23,48,32,4,1,11,10,1,15,134,15,34,0,0,34,24,13,2,9,73
Jan-14,Mid West Gascoyne District,1,1,0,0,0,4,4,0,3,3,0,97,15,82,48,20,23,5,16,12,4,12,4,8,1,0,1,8,0,8,190,229,189,40,37,246,0,0,0,0,1,245,191,34,157,3,0,3,0,706,896,87,9,37,38,3,0,15,10,5,13,115,16,37,0,0,37,49,29,8,12,102
Feb-14,Mid West Gascoyne District,0,0,0,0,0,6,5,1,0,0,0,85,13,72,46,19,22,5,12,9,3,8,3,5,0,0,0,3,1,2,160,117,84,33,23,210,0,0,0,0,1,209,161,27,134,0,0,0,0,511,671,61,11,28,16,5,1,4,3,1,20,85,2,29,0,0,29,35,18,5,12,66
Mar-14,Mid West Gascoyne District,0,0,0,0,0,7,5,2,1,1,0,98,21,77,47,12,32,3,13,10,3,10,5,5,1,0,1,1,1,0,178,162,107,55,31,236,0,0,0,0,2,234,189,35,154,2,0,2,0,620,798,99,5,49,39,5,1,15,9,6,17,131,5,37,1,0,36,49,23,17,9,91
Apr-14,Mid West Gascoyne District,1,0,1,0,0,8,8,0,6,6,0,90,21,69,55,16,33,6,19,14,5,6,3,3,0,0,0,2,0,2,187,126,89,37,20,192,0,0,0,0,0,192,148,24,124,6,0,6,0,492,679,81,8,46,23,3,1,12,10,2,17,110,6,33,0,0,33,19,10,1,8,58
May-14,Mid West Gascoyne District,0,0,0,0,0,17,17,0,3,3,0,94,19,75,35,11,20,4,7,7,0,11,6,5,1,0,1,4,2,2,172,152,101,51,29,180,0,0,0,0,2,178,154,31,123,2,0,2,0,517,689,107,9,54,37,6,1,6,2,4,21,134,12,31,0,0,31,28,14,1,13,71
Jun-14,Mid West Gascoyne District,2,2,0,0,0,4,4,0,6,6,0,69,8,61,39,18,19,2,8,4,4,6,3,3,0,0,0,1,0,1,135,124,94,30,20,256,0,0,0,0,2,254,155,25,130,7,0,6,1,562,697,113,11,62,36,2,2,13,10,3,19,145,9,14,1,0,13,31,15,4,12,54
Jul-14,Mid West Gascoyne District,1,0,0,0,1,6,4,2,10,9,1,80,21,59,35,13,19,3,10,6,4,11,8,3,0,0,0,1,0,1,154,111,71,40,21,192,0,0,0,0,2,190,132,20,112,5,0,5,0,461,615,107,2,68,32,5,0,7,6,1,11,125,6,43,1,0,42,26,13,2,11,75
Aug-14,Mid West Gascoyne District,0,0,0,0,0,8,5,3,8,8,0,84,16,68,53,12,35,6,7,5,2,15,8,7,1,1,0,4,0,4,180,117,87,30,13,176,0,0,0,0,0,176,113,24,89,6,0,6,0,425,605,135,8,71,52,3,1,5,3,2,6,146,1,35,0,0,35,34,14,7,13,70
Sep-14,Mid West Gascoyne District,1,1,0,0,0,4,3,1,2,0,2,100,19,81,45,17,23,5,8,6,2,16,4,12,1,0,1,4,0,4,181,151,118,33,17,213,0,0,0,0,0,213,136,33,103,1,0,1,0,518,699,95,2,55,37,1,0,6,4,2,10,111,4,39,0,0,39,43,21,2,20,86
Oct-14,Mid West Gascoyne District,0,0,0,0,0,11,10,1,11,11,0,90,11,79,47,15,31,1,11,6,5,12,4,8,1,0,1,3,0,3,186,141,122,19,34,186,0,0,0,0,0,186,123,32,91,3,1,2,0,487,673,150,15,74,51,9,1,16,11,5,33,199,3,48,0,0,48,35,16,4,15,86
Nov-14,Mid West Gascoyne District,0,0,0,0,0,4,4,0,9,8,1,66,13,53,34,18,12,4,9,6,3,10,5,5,0,0,0,3,0,3,135,149,113,36,31,209,0,0,0,0,1,208,128,21,107,7,0,6,1,524,659,134,10,71,47,6,0,7,6,1,14,155,7,145,0,0,145,43,24,5,14,195
Dec-14,Mid West Gascoyne District,0,0,0,0,0,10,6,4,1,0,1,97,11,86,44,12,29,3,13,11,2,5,4,1,0,0,0,2,0,2,172,171,140,31,21,227,0,0,0,0,0,227,160,30,130,2,0,2,0,581,753,120,8,54,48,8,2,5,5,0,17,142,16,150,0,0,150,42,25,5,12,208
Jan-15,Mid West Gascoyne District,0,0,0,0,0,9,6,3,9,9,0,121,28,93,51,21,29,1,7,3,4,8,2,6,0,0,0,0,0,0,205,209,154,55,33,300,0,0,0,0,1,299,188,30,158,10,4,6,0,740,945,103,4,49,45,4,1,9,8,1,20,132,8,19,1,0,18,52,32,2,18,79
Feb-15,Mid West Gascoyne District,0,0,0,0,0,6,5,1,6,6,0,92,23,69,62,20,38,4,10,8,2,8,2,6,0,0,0,4,1,3,188,172,126,46,43,252,0,0,0,0,2,250,214,39,175,1,0,1,0,682,870,98,5,50,36,7,0,10,8,2,12,120,5,20,0,0,20,43,15,8,20,68
Mar-15,Mid West Gascoyne District,0,0,0,0,0,8,8,0,1,1,0,102,30,72,50,21,27,2,9,5,4,11,6,5,2,0,2,3,1,2,186,207,159,48,38,247,0,0,0,0,0,247,155,28,127,3,0,3,0,650,836,97,13,41,39,2,2,6,4,2,14,117,9,47,0,0,47,55,30,6,19,111
Apr-15,Mid West Gascoyne District,0,0,0,0,0,2,2,0,0,0,0,67,14,53,38,15,20,3,6,5,1,8,2,6,1,0,1,2,0,2,124,228,188,40,48,319,0,0,0,0,1,318,150,25,125,4,0,4,0,749,873,111,22,52,35,2,0,19,17,2,14,144,4,16,0,0,16,31,21,4,6,51
May-15,Mid West Gascoyne District,1,0,0,0,1,4,4,0,1,1,0,63,13,50,39,9,26,4,7,2,5,7,2,5,0,0,0,4,0,4,126,225,152,73,33,286,0,0,0,0,0,286,189,28,161,3,0,2,1,736,862,108,7,55,40,6,0,15,12,3,22,145,12,28,0,0,28,29,14,5,10,69
Jun-15,Mid West Gascoyne District,0,0,0,0,0,7,6,1,2,2,0,59,7,52,43,9,31,3,14,9,5,4,0,4,0,0,0,2,0,2,131,146,106,40,19,218,0,0,0,0,0,218,134,25,109,1,0,1,0,518,649,125,14,63,44,3,1,7,6,1,10,142,1,41,0,0,41,33,24,3,6,75
Jul-15,Mid West Gascoyne District,1,1,0,0,0,3,3,0,18,17,1,55,10,45,32,12,19,1,13,10,3,5,3,2,2,0,2,2,0,2,131,134,92,42,32,201,0,0,0,0,0,201,152,24,128,2,0,1,1,521,652,136,18,71,43,4,0,11,8,3,17,164,7,47,0,0,47,37,19,4,14,91
Aug-15,Mid West Gascoyne District,4,1,0,0,3,2,2,0,7,6,1,82,9,73,36,12,19,5,11,5,6,6,3,3,0,0,0,2,0,2,150,148,118,30,19,207,0,0,0,0,0,207,168,32,136,4,0,4,0,546,696,141,10,74,49,8,0,7,3,4,11,159,3,32,0,0,32,41,26,5,10,76
Sep-15,Mid West Gascoyne District,0,0,0,0,0,5,4,1,4,4,0,72,9,63,37,9,26,2,17,15,2,9,2,7,0,0,0,5,1,4,149,116,92,24,18,201,0,0,0,0,1,200,126,28,98,2,1,1,0,463,612,146,26,63,50,7,0,6,6,0,13,165,1,39,0,0,39,44,26,5,13,84
Oct-15,Mid West Gascoyne District,0,0,0,0,0,5,5,0,0,0,0,85,20,65,50,19,17,14,10,7,3,9,2,7,0,0,0,1,0,1,160,151,111,40,13,212,0,0,0,0,1,211,147,33,114,4,2,2,0,527,687,118,7,66,43,2,0,5,3,2,17,140,2,25,0,0,25,40,22,2,16,67
Nov-15,Mid West Gascoyne District,3,0,0,1,2,4,3,1,1,0,1,66,14,52,48,9,37,2,6,6,0,17,6,11,0,0,0,2,0,2,147,150,105,45,14,223,0,0,0,0,0,223,134,30,104,4,1,3,0,525,672,94,12,46,29,4,3,8,7,1,18,120,4,63,0,0,63,48,33,3,12,115
Dec-15,Mid West Gascoyne District,0,0,0,0,0,1,0,1,3,3,0,106,30,76,51,23,21,7,9,5,4,13,5,8,1,0,1,5,2,3,189,171,133,38,28,196,0,0,0,0,1,195,172,34,138,4,0,3,1,571,760,178,92,48,35,2,1,6,4,2,16,200,4,63,0,0,63,46,26,6,14,113
Jan-16,Mid West Gascoyne District,1,0,0,0,1,1,1,0,10,10,0,87,13,74,32,16,15,1,7,4,3,12,2,10,0,0,0,4,0,4,154,180,135,45,26,200,0,0,0,0,0,200,147,31,116,1,0,1,0,554,708,109,12,55,42,0,0,2,1,1,14,125,5,27,0,0,27,24,14,1,9,56
Feb-16,Mid West Gascoyne District,0,0,0,0,0,3,3,0,2,2,0,92,14,78,43,15,23,5,15,8,7,5,0,5,0,0,0,1,0,1,161,176,119,57,28,202,0,0,0,0,2,200,146,23,123,0,0,0,0,552,713,124,7,56,58,3,0,9,8,1,5,138,6,43,1,0,42,121,108,1,12,170
Mar-16,Mid West Gascoyne District,0,0,0,0,0,16,15,1,14,7,7,102,28,74,55,24,27,4,12,7,5,13,4,9,0,0,0,9,1,8,221,215,172,43,29,196,0,0,0,0,1,195,143,29,114,2,0,2,0,585,806,162,5,80,69,7,1,10,9,1,26,198,5,120,0,0,120,48,27,5,16,173
Apr-16,Mid West Gascoyne District,0,0,0,0,0,3,3,0,6,6,0,84,22,62,35,13,21,1,12,9,3,12,4,8,1,0,1,3,1,2,156,219,153,66,35,231,0,0,0,0,0,231,153,34,119,3,0,3,0,641,797,125,14,59,47,4,1,12,10,2,15,152,4,74,0,0,74,47,30,6,11,125
May-16,Mid West Gascoyne District,0,0,0,0,0,11,10,1,0,0,0,67,17,50,39,11,24,4,6,4,2,12,7,5,1,0,1,5,1,4,141,181,125,56,20,193,0,0,0,0,0,193,146,27,119,2,0,2,0,542,683,180,13,84,74,7,2,9,8,1,15,204,9,15,0,0,15,53,25,18,10,77
Jun-16,Mid West Gascoyne District,0,0,0,0,0,10,7,3,20,15,5,66,16,50,34,11,20,3,6,6,0,7,6,1,0,0,0,2,1,1,145,138,110,28,16,187,0,0,0,0,1,186,123,18,105,8,3,5,0,472,617,135,13,63,56,2,1,7,4,3,19,161,6,12,0,0,12,35,14,5,16,53
Jul-16,Mid West Gascoyne District,2,0,0,0,2,6,4,2,2,2,0,55,10,45,30,14,12,4,7,6,1,13,8,5,2,0,2,1,0,1,118,92,66,26,14,199,0,0,0,0,0,199,146,31,115,2,0,2,0,453,571,138,11,61,62,3,1,9,8,1,10,157,7,17,1,0,16,61,34,9,18,85
Aug-16,Mid West Gascoyne District,0,0,0,0,0,18,9,9,1,1,0,72,21,51,30,8,18,4,10,7,3,8,2,6,0,0,0,1,0,1,140,139,91,48,20,201,0,0,0,0,1,200,140,26,114,1,0,1,0,501,641,209,24,103,72,9,1,3,2,1,34,246,2,23,0,0,23,64,46,6,12,89
Sep-16,Mid West Gascoyne District,0,0,0,0,0,6,4,2,5,5,0,67,13,54,26,12,12,2,7,5,2,12,6,6,0,0,0,0,0,0,123,132,83,49,11,201,0,0,0,0,0,201,138,23,115,4,0,4,0,486,609,136,16,56,59,4,1,5,3,2,10,151,1,32,0,0,32,28,22,2,4,61
Oct-16,Mid West Gascoyne District,0,0,0,0,0,11,4,7,0,0,0,75,19,56,39,16,22,1,9,8,1,8,1,7,1,0,1,0,0,0,143,121,77,44,23,223,0,0,0,0,0,223,181,45,136,5,0,5,0,553,696,85,6,40,36,3,0,6,6,0,15,106,3,73,0,0,73,36,16,8,12,112
Nov-16,Mid West Gascoyne District,2,0,2,0,0,6,3,3,12,12,0,105,23,82,59,18,36,5,10,9,1,3,1,2,2,0,2,1,0,1,200,122,89,33,11,216,0,0,0,0,1,215,151,32,119,7,1,5,1,507,707,163,18,68,69,3,5,12,10,2,11,186,12,25,0,0,25,127,107,4,16,164
Dec-16,Mid West Gascoyne District,0,0,0,0,0,6,5,1,2,2,0,104,23,81,53,19,29,5,7,5,2,18,8,10,0,0,0,3,1,2,193,124,88,36,13,189,0,0,0,0,1,188,192,56,136,1,1,0,0,519,712,115,10,58,43,4,0,4,3,1,20,139,6,20,0,0,20,167,145,9,13,193
Jan-17,Mid West Gascoyne District,1,0,0,0,1,6,4,2,10,10,0,97,14,83,65,24,32,9,11,9,2,10,6,4,1,0,1,4,0,4,205,152,124,28,18,257,0,0,0,0,0,257,212,40,172,10,0,8,2,649,854,231,120,60,48,3,0,16,14,2,19,266,3,16,0,0,16,48,16,10,22,67
Feb-17,Mid West Gascoyne District,0,0,0,0,0,4,4,0,0,0,0,90,17,73,45,15,23,7,20,10,10,12,5,7,1,0,1,2,0,2,174,152,111,41,25,247,0,0,0,0,0,247,163,35,128,1,0,1,0,588,762,106,6,52,47,1,0,10,4,6,8,124,3,18,0,0,18,44,20,3,21,65
Mar-17,Mid West Gascoyne District,0,0,0,0,0,10,6,4,2,2,0,99,20,79,35,17,13,5,24,20,4,11,4,7,1,0,1,2,0,2,184,186,133,53,29,205,0,0,0,0,0,205,144,21,123,1,0,1,0,565,749,257,70,99,79,6,3,19,11,8,34,310,12,53,2,0,51,69,47,3,19,134
Apr-17,Mid West Gascoyne District,2,0,0,0,2,1,1,0,0,0,0,90,24,66,43,18,24,1,16,14,2,13,9,4,1,0,1,5,2,3,171,105,84,21,16,205,0,0,0,0,0,205,154,24,130,2,1,1,0,482,653,109,5,60,42,1,1,4,3,1,10,123,5,8,0,0,8,34,20,4,10,47
May-17,Mid West Gascoyne District,0,0,0,0,0,11,10,1,12,11,1,72,18,54,51,15,30,6,7,5,2,17,9,8,2,0,2,2,0,2,174,114,92,22,10,217,0,0,0,0,1,216,128,28,100,3,0,3,0,472,646,113,10,47,42,3,11,4,3,1,11,128,2,28,1,0,27,43,27,5,11,73
Jun-17,Mid West Gascoyne District,0,0,0,0,0,3,2,1,6,6,0,73,8,65,30,12,18,0,11,8,3,13,4,9,0,0,0,4,0,4,140,113,92,21,14,180,27,35,37,44,0,37,127,29,98,8,0,7,1,442,582,112,9,54,47,2,0,8,6,2,14,134,0,10,0,1,9,33,14,16,3,43
Jul-17,Mid West Gascoyne District,1,0,0,0,1,5,5,0,12,10,2,66,14,52,31,11,15,5,15,15,0,7,2,5,0,0,0,7,0,7,144,117,82,35,12,155,37,38,39,41,0,0,137,27,110,2,0,2,0,423,567,133,10,62,54,7,0,10,7,3,12,155,3,44,0,43,1,29,16,2,11,76
Aug-17,Mid West Gascoyne District,0,0,0,0,0,28,6,22,5,5,0,69,16,53,31,10,18,3,19,12,7,5,2,3,0,0,0,0,0,0,157,195,167,28,25,165,53,33,34,45,0,0,162,25,137,5,0,4,1,552,709,146,11,81,50,2,2,18,14,4,16,180,5,36,0,19,17,36,22,2,12,77
Sep-17,Mid West Gascoyne District,1,0,0,0,1,6,6,0,3,3,0,77,12,65,59,24,28,7,16,12,4,24,11,13,0,0,0,4,0,4,190,162,133,29,12,164,32,32,31,68,1,0,163,53,110,5,1,3,1,506,696,141,10,69,54,6,2,17,15,2,17,175,1,7,0,1,6,94,59,2,33,102
Oct-17,Mid West Gascoyne District,0,0,0,0,0,7,7,0,7,7,0,82,16,66,48,11,32,5,11,10,1,14,5,9,1,0,1,3,0,3,173,144,102,42,12,173,42,43,31,56,1,0,134,26,108,6,2,3,1,469,642,167,11,85,66,4,1,12,11,1,30,209,11,57,1,39,17,53,38,4,11,121
Nov-17,Mid West Gascoyne District,1,0,1,0,0,14,12,2,5,5,0,92,21,71,47,13,27,7,10,8,2,11,9,2,4,0,4,1,0,1,185,137,106,31,18,198,52,50,42,53,1,0,150,37,113,3,0,3,0,506,691,118,8,62,42,4,2,9,9,0,6,133,3,23,0,20,3,35,17,6,12,61
Dec-17,Mid West Gascoyne District,0,0,0,0,0,15,15,0,2,2,0,125,28,97,54,17,28,9,16,11,5,15,5,10,0,0,0,0,0,0,227,109,88,21,6,130,25,26,29,49,1,0,132,26,106,2,0,2,0,379,606,137,2,76,49,6,4,10,10,0,10,157,1,40,2,34,4,44,21,1,22,85
Jan-18,Mid West Gascoyne District,0,0,0,0,0,8,8,0,4,3,1,112,16,96,43,18,22,3,16,10,6,8,5,3,1,0,1,3,0,3,195,119,91,28,34,154,33,35,37,49,0,0,115,32,83,2,0,2,0,424,619,126,7,60,47,10,2,12,9,3,8,146,3,44,0,32,12,57,20,5,32,104
Feb-18,Mid West Gascoyne District,0,0,0,0,0,22,21,1,19,19,0,70,9,61,34,17,15,2,14,12,2,15,10,5,0,0,0,4,0,4,178,118,86,32,21,159,30,30,44,54,1,0,123,31,92,5,0,5,0,426,604,276,142,73,54,2,5,5,4,1,14,295,3,6,0,5,1,26,19,3,4,35
Mar-18,Mid West Gascoyne District,1,1,0,0,0,11,9,2,1,1,0,85,16,69,37,16,18,3,22,17,5,17,13,4,0,0,0,5,0,5,179,88,71,17,19,170,31,35,41,62,1,0,94,27,67,2,0,2,0,373,552,122,19,54,37,1,11,5,3,2,13,140,7,31,0,29,2,44,19,10,15,82
Apr-18,Mid West Gascoyne District,1,0,0,0,1,18,16,2,5,5,0,93,15,78,47,14,32,1,21,17,4,18,6,12,1,0,1,6,1,5,210,126,84,42,20,165,35,36,38,53,3,0,124,36,88,2,1,1,0,437,647,92,11,43,34,3,1,17,14,3,11,120,6,9,0,7,2,46,18,2,26,61
May-18,Mid West Gascoyne District,0,0,0,0,0,6,6,0,30,29,1,94,22,72,31,7,18,6,19,18,1,7,2,5,1,0,1,1,0,1,189,90,67,23,11,189,37,49,39,63,1,0,106,24,82,0,0,0,0,396,585,129,11,63,48,3,4,9,7,2,11,149,8,39,0,32,7,280,259,8,13,327
Jun-18,Mid West Gascoyne District,0,0,0,0,0,27,24,3,5,5,0,85,12,73,38,8,29,1,15,14,1,9,2,7,0,0,0,3,1,2,182,115,91,24,5,155,36,26,41,51,1,0,94,23,71,1,0,1,0,370,552,136,9,70,50,6,1,9,8,1,14,159,6,30,0,25,5,44,26,6,12,80
Jul-18,Mid West Gascoyne District,0,0,0,0,0,9,7,2,1,1,0,93,18,75,32,11,21,0,24,21,3,10,6,4,0,0,0,1,0,1,170,73,62,11,12,141,38,18,41,44,0,0,93,16,77,5,0,5,0,324,494,136,13,68,51,2,2,9,9,0,10,155,7,33,0,33,0,44,23,2,19,84
Aug-18,Mid West Gascoyne District,3,0,0,0,3,9,1,8,8,8,0,108,14,94,35,12,18,5,21,14,7,13,7,6,0,0,0,1,0,1,198,87,67,20,16,144,46,25,30,39,4,0,104,14,90,2,0,2,0,353,551,124,4,65,47,7,1,12,11,1,11,147,3,21,0,16,5,48,25,4,19,72
Sep-18,Mid West Gascoyne District,0,0,0,0,0,11,9,2,0,0,0,109,20,89,34,13,20,1,17,13,4,10,6,4,3,1,2,4,0,4,188,62,49,13,7,153,25,47,32,47,2,0,119,29,90,6,0,6,0,347,535,142,54,48,35,4,1,11,11,0,5,158,2,36,0,30,6,87,68,2,17,125
Oct-18,Mid West Gascoyne District,1,0,0,0,1,10,8,2,15,15,0,97,21,76,35,9,23,3,18,18,0,17,11,6,0,0,0,3,1,2,196,81,67,14,10,209,34,59,64,51,1,0,116,14,102,5,1,4,0,421,617,88,11,34,39,4,0,5,5,0,11,104,0,49,0,35,14,52,27,5,20,101
Nov-18,Mid West Gascoyne District,0,0,0,0,0,8,8,0,5,5,0,86,11,75,49,15,30,4,25,20,5,14,6,8,0,0,0,6,1,5,193,107,83,24,25,208,47,73,35,53,0,0,142,37,105,6,1,4,1,488,681,81,2,47,29,2,1,7,3,4,12,100,1,21,1,17,3,53,28,9,16,75
Dec-18,Mid West Gascoyne District,0,0,0,0,0,5,4,1,6,6,0,112,23,89,35,14,21,0,31,28,3,23,11,12,1,0,1,4,0,4,217,80,60,20,14,197,63,59,26,49,0,0,126,20,106,1,0,1,0,418,635,68,10,34,20,3,1,8,7,1,5,81,1,59,0,57,2,60,25,4,31,120
Jan-19,Mid West Gascoyne District,0,0,0,0,0,16,7,9,6,6,0,102,19,83,66,19,44,3,19,14,5,8,5,3,3,0,3,1,0,1,221,141,111,30,14,225,63,53,57,51,1,0,127,25,102,2,0,2,0,509,730,87,6,48,31,2,0,8,8,0,8,103,2,61,0,59,2,35,14,0,21,98
Feb-19,Mid West Gascoyne District,0,0,0,0,0,10,7,3,0,0,0,89,13,76,43,16,22,5,19,13,6,15,8,7,0,0,0,4,0,4,180,102,70,32,13,231,62,60,52,55,2,0,125,27,98,2,1,1,0,473,653,127,18,47,56,4,2,7,7,0,22,156,3,6,0,4,2,47,27,3,17,56
Mar-19,Mid West Gascoyne District,0,0,0,0,0,28,26,2,1,1,0,118,18,100,36,6,29,1,21,17,4,12,9,3,0,0,0,3,0,3,219,150,115,35,21,245,70,39,58,75,3,0,127,26,101,5,0,5,0,548,767,93,6,48,36,2,1,28,21,7,10,131,1,48,0,46,2,74,45,1,28,123
Apr-19,Mid West Gascoyne District,0,0,0,0,0,4,3,1,1,1,0,96,19,77,33,11,21,1,22,17,5,14,4,10,0,0,0,3,0,3,173,129,100,29,16,234,66,51,57,60,0,0,122,25,97,4,0,4,0,505,678,87,8,44,32,2,1,9,8,1,5,101,3,26,1,22,3,58,26,5,27,87
May-19,Mid West Gascoyne District,0,0,0,0,0,15,13,2,6,6,0,99,27,72,30,12,12,6,21,16,5,16,7,9,1,0,1,4,1,3,192,130,107,23,18,195,53,43,40,58,1,0,131,26,105,3,0,3,0,477,669,88,6,43,37,0,2,16,16,0,8,112,1,39,5,28,6,42,25,5,12,82
Jun-19,Mid West Gascoyne District,0,0,0,0,0,3,3,0,4,4,0,101,12,89,23,9,13,1,22,16,6,11,7,4,0,0,0,3,0,3,167,119,95,24,10,168,43,38,37,50,0,0,117,22,95,3,0,3,0,417,584,173,12,89,68,1,3,10,9,1,11,194,3,53,0,50,3,56,40,3,13,112
Jul-19,Mid West Gascoyne District,0,0,0,0,0,5,5,0,0,0,0,97,21,76,39,14,23,2,20,16,4,17,8,9,1,0,1,2,1,1,181,85,73,12,6,135,33,27,34,39,2,0,128,32,96,5,0,5,0,359,540,115,13,65,34,2,1,9,9,0,7,131,0,23,0,21,2,58,43,1,14,81
Aug-19,Mid West Gascoyne District,0,0,0,0,0,9,9,0,8,8,0,136,34,102,31,10,14,7,45,33,12,9,3,6,3,0,3,2,1,1,243,116,92,24,11,178,48,31,45,54,0,0,113,22,91,4,0,4,0,422,665,158,6,91,54,4,3,12,12,0,9,179,2,49,0,44,5,65,41,1,23,116
Sep-19,Mid West Gascoyne District,1,1,0,0,0,16,14,2,4,4,0,88,22,66,58,19,32,7,16,11,5,20,8,12,2,0,2,2,0,2,207,127,93,34,16,188,49,40,39,59,1,0,123,38,85,8,0,8,0,462,669,182,106,42,33,0,1,9,9,0,10,201,3,24,0,22,2,70,38,3,29,97
Oct-19,Mid West Gascoyne District,0,0,0,0,0,8,8,0,11,11,0,97,20,77,30,8,18,4,34,32,2,8,5,3,0,0,0,2,0,2,190,117,71,46,10,161,57,24,40,40,0,0,143,28,115,9,2,6,1,440,630,97,4,48,39,5,1,7,7,0,6,110,3,27,0,22,5,33,21,1,11,63
Nov-19,Mid West Gascoyne District,0,0,0,0,0,5,5,0,6,6,0,125,16,109,63,20,34,9,35,27,8,12,5,7,1,0,1,2,0,2,249,142,99,43,12,175,62,13,35,64,1,0,145,27,118,11,1,10,0,485,734,105,9,53,39,2,2,7,7,0,9,121,4,54,0,48,6,60,30,3,27,118
Dec-19,Mid West Gascoyne District,0,0,0,0,0,6,5,1,6,4,2,148,27,121,63,23,32,8,29,19,10,10,5,5,1,0,1,1,0,1,264,152,118,34,12,181,62,31,41,46,1,0,145,34,111,4,1,2,1,494,758,64,1,30,28,5,0,8,8,0,9,81,3,13,0,11,2,67,35,6,26,83
Jan-20,Mid West Gascoyne District,1,0,0,0,1,21,17,4,10,5,5,128,17,111,61,20,31,10,34,27,7,21,6,15,0,0,0,1,0,1,277,152,125,27,7,193,45,43,37,67,1,0,144,34,110,1,0,1,0,497,774,111,5,63,38,4,1,9,9,0,21,141,1,31,0,30,1,67,46,0,21,99
